text,label,intent_name,conversations
what are the steps to finishing up with this account?,55,terminate_account,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""what are the steps to finishing up with this account?\""""}, {""role"": ""assistant"", ""content"": ""terminate_account""}]"
"my money is gone. i had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",61,top_up_reverted,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""my money is gone. i had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?\""""}, {""role"": ""assistant"", ""content"": ""top_up_reverted""}]"
any chance of getting the card outside the uk?,24,country_support,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""any chance of getting the card outside the uk?\""""}, {""role"": ""assistant"", ""content"": ""country_support""}]"
can someone assist me with updating my account details with changing my last name?,30,edit_personal_details,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""can someone assist me with updating my account details with changing my last name?\""""}, {""role"": ""assistant"", ""content"": ""edit_personal_details""}]"
i need info on activating my card?,0,activate_my_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i need info on activating my card?\""""}, {""role"": ""assistant"", ""content"": ""activate_my_card""}]"
"my statement shows a 1£ purchase pending. i do not remember making this purchase, please let me know what this is about.",34,extra_charge_on_statement,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""my statement shows a 1\u00a3 purchase pending. i do not remember making this purchase, please let me know what this is about.\""""}, {""role"": ""assistant"", ""content"": ""extra_charge_on_statement""}]"
"i need to set up an account for my daughter, how would i do that?",1,age_limit,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i need to set up an account for my daughter, how would i do that?\""""}, {""role"": ""assistant"", ""content"": ""age_limit""}]"
how can i exchange currencies in the app?,33,exchange_via_app,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how can i exchange currencies in the app?\""""}, {""role"": ""assistant"", ""content"": ""exchange_via_app""}]"
"i want to block my card or deactivate it or something, it's been stolen and i don't want it misused. i want this handled right away.",41,lost_or_stolen_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i want to block my card or deactivate it or something, it's been stolen and i don't want it misused. i want this handled right away.\""""}, {""role"": ""assistant"", ""content"": ""lost_or_stolen_card""}]"
how do i exchange currencies with this,33,exchange_via_app,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how do i exchange currencies with this\""""}, {""role"": ""assistant"", ""content"": ""exchange_via_app""}]"
which atms accept this circuit board ?,3,atm_support,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""which atms accept this circuit board ?\""""}, {""role"": ""assistant"", ""content"": ""atm_support""}]"
"i have not used my card all day, however, there is an unusual payment showing in my app. i would like to have that amount reimbursed.",28,direct_debit_payment_not_recognised,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i have not used my card all day, however, there is an unusual payment showing in my app. i would like to have that amount reimbursed.\""""}, {""role"": ""assistant"", ""content"": ""direct_debit_payment_not_recognised""}]"
i found my card! can i link it back into the app?,13,card_linking,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i found my card! can i link it back into the app?\""""}, {""role"": ""assistant"", ""content"": ""card_linking""}]"
can i withdraw from any atm?,3,atm_support,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""can i withdraw from any atm?\""""}, {""role"": ""assistant"", ""content"": ""atm_support""}]"
can i mail in a check to top up?,58,top_up_by_cash_or_cheque,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""can i mail in a check to top up?\""""}, {""role"": ""assistant"", ""content"": ""top_up_by_cash_or_cheque""}]"
why is my top-up pending?,47,pending_top_up,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""why is my top-up pending?\""""}, {""role"": ""assistant"", ""content"": ""pending_top_up""}]"
"i need a refund and cancel a transaction on an item i purchased and i need it as soon as possible, please!",52,request_refund,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i need a refund and cancel a transaction on an item i purchased and i need it as soon as possible, please!\""""}, {""role"": ""assistant"", ""content"": ""request_refund""}]"
the refund i asked for isn't showing up,51,Refund_not_showing_up,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""the refund i asked for isn't showing up\""""}, {""role"": ""assistant"", ""content"": ""Refund_not_showing_up""}]"
what should i do if someone else used my card?,22,compromised_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""what should i do if someone else used my card?\""""}, {""role"": ""assistant"", ""content"": ""compromised_card""}]"
please help me. i don't know my code to get into the app.,44,passcode_forgotten,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""please help me. i don't know my code to get into the app.\""""}, {""role"": ""assistant"", ""content"": ""passcode_forgotten""}]"
i need to add money to my account. can i do so via bank transfer?,65,transfer_into_account,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i need to add money to my account. can i do so via bank transfer?\""""}, {""role"": ""assistant"", ""content"": ""transfer_into_account""}]"
my physical card is not working,14,card_not_working,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""my physical card is not working\""""}, {""role"": ""assistant"", ""content"": ""card_not_working""}]"
i should not have been charged a fee for cash withdrawal.,19,cash_withdrawal_charge,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i should not have been charged a fee for cash withdrawal.\""""}, {""role"": ""assistant"", ""content"": ""cash_withdrawal_charge""}]"
what is the top up rate charge for using a card in the us?,57,top_up_by_card_charge,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""what is the top up rate charge for using a card in the us?\""""}, {""role"": ""assistant"", ""content"": ""top_up_by_card_charge""}]"
am i able to order a disposable virtual card?,37,get_disposable_virtual_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""am i able to order a disposable virtual card?\""""}, {""role"": ""assistant"", ""content"": ""get_disposable_virtual_card""}]"
what is the reason my cash withdrawal is still pending?,46,pending_cash_withdrawal,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""what is the reason my cash withdrawal is still pending?\""""}, {""role"": ""assistant"", ""content"": ""pending_cash_withdrawal""}]"
when will my cheque process?,6,balance_not_updated_after_cheque_or_cash_deposit,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""when will my cheque process?\""""}, {""role"": ""assistant"", ""content"": ""balance_not_updated_after_cheque_or_cash_deposit""}]"
"hi, is there any problem with app? as i am facing some issues with the exchange of crypto currency. i am extremely interested in buying.",7,beneficiary_not_allowed,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""hi, is there any problem with app? as i am facing some issues with the exchange of crypto currency. i am extremely interested in buying.\""""}, {""role"": ""assistant"", ""content"": ""beneficiary_not_allowed""}]"
"how long does it take to activate the card, as it does not look like its working?",0,activate_my_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how long does it take to activate the card, as it does not look like its working?\""""}, {""role"": ""assistant"", ""content"": ""activate_my_card""}]"
"i received my virtual card information, but was unable to use it to make a purchase. why did this happen and what can i do?",72,virtual_card_not_working,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i received my virtual card information, but was unable to use it to make a purchase. why did this happen and what can i do?\""""}, {""role"": ""assistant"", ""content"": ""virtual_card_not_working""}]"
i was charged an extra fee for a card payment. i was unaware of these fees beforehand.,15,card_payment_fee_charged,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i was charged an extra fee for a card payment. i was unaware of these fees beforehand.\""""}, {""role"": ""assistant"", ""content"": ""card_payment_fee_charged""}]"
"i initiated a payment a while ago and it is still showing as pending, how long will it take to clear?",45,pending_card_payment,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i initiated a payment a while ago and it is still showing as pending, how long will it take to clear?\""""}, {""role"": ""assistant"", ""content"": ""pending_card_payment""}]"
top up with credit card,62,topping_up_by_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""top up with credit card\""""}, {""role"": ""assistant"", ""content"": ""topping_up_by_card""}]"
how would i use a bank transfer for topping my account?,65,transfer_into_account,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how would i use a bank transfer for topping my account?\""""}, {""role"": ""assistant"", ""content"": ""transfer_into_account""}]"
can i verify my top-up card?,71,verify_top_up,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""can i verify my top-up card?\""""}, {""role"": ""assistant"", ""content"": ""verify_top_up""}]"
how do i fix my card if it is broken?,14,card_not_working,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how do i fix my card if it is broken?\""""}, {""role"": ""assistant"", ""content"": ""card_not_working""}]"
how do i reset my password?,44,passcode_forgotten,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how do i reset my password?\""""}, {""role"": ""assistant"", ""content"": ""passcode_forgotten""}]"
why didn't my transfer to a beneficiary go through?,7,beneficiary_not_allowed,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""why didn't my transfer to a beneficiary go through?\""""}, {""role"": ""assistant"", ""content"": ""beneficiary_not_allowed""}]"
what forms of id work for verification?,69,verify_my_identity,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""what forms of id work for verification?\""""}, {""role"": ""assistant"", ""content"": ""verify_my_identity""}]"
why would my transfer be declined?,27,declined_transfer,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""why would my transfer be declined?\""""}, {""role"": ""assistant"", ""content"": ""declined_transfer""}]"
someone took my card without my permission.,41,lost_or_stolen_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""someone took my card without my permission.\""""}, {""role"": ""assistant"", ""content"": ""lost_or_stolen_card""}]"
are there any country restrictions?,24,country_support,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""are there any country restrictions?\""""}, {""role"": ""assistant"", ""content"": ""country_support""}]"
tell me what the steps for the identity checks are,69,verify_my_identity,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""tell me what the steps for the identity checks are\""""}, {""role"": ""assistant"", ""content"": ""verify_my_identity""}]"
how can i cancel a transfer i made,8,cancel_transfer,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how can i cancel a transfer i made\""""}, {""role"": ""assistant"", ""content"": ""cancel_transfer""}]"
how can i verify if a cash withdrawal was made from my account? i still have my card with me but i did not authorize the withdrawal that just occurred.,20,cash_withdrawal_not_recognised,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""how can i verify if a cash withdrawal was made from my account? i still have my card with me but i did not authorize the withdrawal that just occurred.\""""}, {""role"": ""assistant"", ""content"": ""cash_withdrawal_not_recognised""}]"
"my phone was stolen yesterday, can you help me with this?",42,lost_or_stolen_phone,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""my phone was stolen yesterday, can you help me with this?\""""}, {""role"": ""assistant"", ""content"": ""lost_or_stolen_phone""}]"
"hi, please help me to request cash back. as i have been withdrawn money from atm, but i got wrong amount. in application its showing the amount i have been charged through.",75,wrong_amount_of_cash_received,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""hi, please help me to request cash back. as i have been withdrawn money from atm, but i got wrong amount. in application its showing the amount i have been charged through.\""""}, {""role"": ""assistant"", ""content"": ""wrong_amount_of_cash_received""}]"
can the card was sen to me be tracked?,11,card_arrival,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""can the card was sen to me be tracked?\""""}, {""role"": ""assistant"", ""content"": ""card_arrival""}]"
is my account able to be topped up by my friends?,62,topping_up_by_card,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""is my account able to be topped up by my friends?\""""}, {""role"": ""assistant"", ""content"": ""topping_up_by_card""}]"
tell me what atms take this card.,3,atm_support,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""tell me what atms take this card.\""""}, {""role"": ""assistant"", ""content"": ""atm_support""}]"
"you will hear back from us about your verification results in 10 minutes to a one hour timeframe. if these verification results do fail, please double-check to make sure your images are clear and have no glare or blur your photos need to be fully readable. you need to be 18 years of age or older and a resident of switzerland or the european economic area to create an account.",68,unable_to_verify_identity,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""you will hear back from us about your verification results in 10 minutes to a one hour timeframe. if these verification results do fail, please double-check to make sure your images are clear and have no glare or blur your photos need to be fully readable. you need to be 18 years of age or older and a resident of switzerland or the european economic area to create an account.\""""}, {""role"": ""assistant"", ""content"": ""unable_to_verify_identity""}]"
"hi, could you please help me as someone has stolen my wallet few hours ago. and a withdrawal is made, please help immediately. as i don't want to suffer more.",20,cash_withdrawal_not_recognised,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""hi, could you please help me as someone has stolen my wallet few hours ago. and a withdrawal is made, please help immediately. as i don't want to suffer more.\""""}, {""role"": ""assistant"", ""content"": ""cash_withdrawal_not_recognised""}]"
where can i get a new passcode?,44,passcode_forgotten,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""where can i get a new passcode?\""""}, {""role"": ""assistant"", ""content"": ""passcode_forgotten""}]"
why has my top up been cancelled,61,top_up_reverted,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""why has my top up been cancelled\""""}, {""role"": ""assistant"", ""content"": ""top_up_reverted""}]"
"i have to transfer money over to my mother, and i have tried numerous times and all that keeps happening is error messages.",7,beneficiary_not_allowed,"[{""role"": ""system"", ""content"": ""You are a banking customer service intent classifier. Given a customer message, classify it into exactly one of the 77 banking intent categories. Respond with ONLY the intent label name, nothing else.""}, {""role"": ""user"", ""content"": ""Classify the intent of this banking message:\n\n\""i have to transfer money over to my mother, and i have tried numerous times and all that keeps happening is error messages.\""""}, {""role"": ""assistant"", ""content"": ""beneficiary_not_allowed""}]"
